,,Richard Nixon:Republican,,,Hubert H. Humphrey:Democratic,,,George Wallace:American Independent,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,10,"146,923",13.99,-,"196,579",18.72,-,"691,425",65.86,10,"1,049,917"
Alaska,3,"37,600",45.28,3,"35,411",42.65,-,"10,024",12.07,-,"83,035"
Arizona,5,"266,721",54.78,5,"170,514",35.02,-,"46,573",9.56,-,"486,936"
Arkansas,6,"189,062",31.01,-,"184,901",30.33,-,"235,627",38.65,6,"609,590"
California,40,"3,467,664",47.82,40,"3,244,318",44.74,-,"487,270",6.72,-,"7,251,587"
Colorado,6,"409,345",50.46,6,"335,174",41.32,-,"60,813",7.50,-,"811,199"
Connecticut,8,"556,721",44.32,-,"621,561",49.48,8,"76,650",6.10,-,"1,256,232"
Delaware,3,"96,714",45.12,3,"89,194",41.61,-,"28,459",13.28,-,"214,367"
D.C.,3,"31,012",18.18,-,"139,566",81.82,3,-,-,-,"170,578"
Florida,14,"886,804",40.53,14,"676,794",30.93,-,"624,207",28.53,-,"2,187,805"
Georgia,12,"380,111",30.40,-,"334,440",26.75,-,"535,550",42.83,12,"1,250,266"
Hawaii,4,"91,425",38.70,-,"141,324",59.83,4,"3,469",1.47,-,"236,218"
Idaho,4,"165,369",56.79,4,"89,273",30.66,-,"36,541",12.55,-,"291,183"
Illinois,26,"2,174,774",47.08,26,"2,039,814",44.15,-,"390,958",8.46,-,"4,619,749"
Indiana,13,"1,067,885",50.29,13,"806,659",37.99,-,"243,108",11.45,-,"2,123,597"
Iowa,9,"619,106",53.01,9,"476,699",40.82,-,"66,422",5.69,-,"1,167,931"
Kansas,7,"478,674",54.84,7,"302,996",34.72,-,"88,921",10.19,-,"872,783"
Kentucky,9,"462,411",43.79,9,"397,541",37.65,-,"193,098",18.29,-,"1,055,893"
Louisiana,10,"257,535",23.47,-,"309,615",28.21,-,"530,300",48.32,10,"1,097,450"
Maine,4,"169,254",43.07,-,"217,312",55.30,4,"6,370",1.62,-,"392,936"
Maryland,10,"517,995",41.94,-,"538,310",43.59,10,"178,734",14.47,-,"1,235,039"
Massachusetts,14,"766,844",32.89,-,"1,469,218",63.01,14,"87,088",3.73,-,"2,331,752"
Michigan,21,"1,370,665",41.46,-,"1,593,082",48.18,21,"331,968",10.04,-,"3,306,250"
Minnesota,10,"658,643",41.46,-,"857,738",54.00,10,"68,931",4.34,-,"1,588,510"
Mississippi,7,"88,516",13.52,-,"150,644",23.02,-,"415,349",63.46,7,"654,509"
Missouri,12,"811,932",44.87,12,"791,444",43.74,-,"206,126",11.39,-,"1,809,502"
Montana,4,"138,835",50.60,4,"114,117",41.59,-,"20,015",7.29,-,"274,404"
Nebraska,5,"321,163",59.82,5,"170,784",31.81,-,"44,904",8.36,-,"536,851"
Nevada,3,"73,188",47.46,3,"60,598",39.29,-,"20,432",13.25,-,"154,218"
New Hampshire,4,"154,903",52.10,4,"130,589",43.93,-,"11,173",3.76,-,"297,298"
New Jersey,17,"1,325,467",46.10,17,"1,264,206",43.97,-,"262,187",9.12,-,"2,875,395"
New Mexico,4,"169,692",51.85,4,"130,081",39.75,-,"25,737",7.86,-,"327,281"
New York,43,"3,007,932",44.30,-,"3,378,470",49.76,43,"358,864",5.29,-,"6,790,066"
North Carolina,13,"627,192",39.51,12,"464,113",29.24,-,"496,188",31.26,1,"1,587,493"
North Dakota,4,"138,669",55.94,4,"94,769",38.23,-,"14,244",5.75,-,"247,882"
Ohio,26,"1,791,014",45.23,26,"1,700,586",42.95,-,"467,495",11.81,-,"3,959,698"
Oklahoma,8,"449,697",47.68,8,"301,658",31.99,-,"191,731",20.33,-,"943,086"
Oregon,6,"408,433",49.83,6,"358,866",43.78,-,"49,683",6.06,-,"819,622"
Pennsylvania,29,"2,090,017",44.02,-,"2,259,405",47.59,29,"378,582",7.97,-,"4,747,928"
Rhode Island,4,"122,359",31.78,-,"246,518",64.03,4,"15,678",4.07,-,"385,000"
South Carolina,8,"254,062",38.09,8,"197,486",29.61,-,"215,430",32.30,-,"666,982"
South Dakota,4,"149,841",53.27,4,"118,023",41.96,-,"13,400",4.76,-,"281,264"
Tennessee,11,"472,592",37.85,11,"351,233",28.13,-,"424,792",34.02,-,"1,248,617"
Texas,25,"1,227,844",39.87,-,"1,266,804",41.14,25,"584,269",18.97,-,"3,079,406"
Utah,4,"238,728",56.49,4,"156,665",37.07,-,"26,906",6.37,-,"422,568"
Vermont,3,"85,142",52.75,3,"70,255",43.53,-,"5,104",3.16,-,"161,404"
Virginia,12,"590,319",43.36,12,"442,387",32.49,-,"321,833",23.64,-,"1,361,491"
Washington,9,"588,510",45.12,-,"616,037",47.23,9,"96,990",7.44,-,"1,304,281"
West Virginia,7,"307,555",40.78,-,"374,091",49.60,7,"72,560",9.62,-,"754,206"
Wisconsin,12,"809,997",47.89,12,"748,804",44.27,-,"127,835",7.56,-,"1,691,538"
Wyoming,3,"70,927",55.76,3,"45,173",35.51,-,"11,105",8.73,-,"127,205"
TOTALS:,538,"31,783,783",43.42,301,"31,271,839",42.72,191,"9,901,118",13.53,46,"73,199,998"